_sa_instance_state,station,name,longitude,latitude,id,elevation
<sqlalchemy.orm.state.InstanceState object at 0x0000019B9C0D7F70>,USC00519397,"WAIKIKI 717.2, HI US",-157.8168,21.2716,1,3.0
<sqlalchemy.orm.state.InstanceState object at 0x0000019B9C0D7F40>,USC00513117,"KANEOHE 838.1, HI US",-157.8015,21.4234,2,14.6
<sqlalchemy.orm.state.InstanceState object at 0x0000019B9A9B0040>,USC00514830,"KUALOA RANCH HEADQUARTERS 886.9, HI US",-157.8374,21.5213,3,7.0
<sqlalchemy.orm.state.InstanceState object at 0x0000019B9A9B00A0>,USC00517948,"PEARL CITY, HI US",-157.9751,21.3934,4,11.9
<sqlalchemy.orm.state.InstanceState object at 0x0000019B9A9B0160>,USC00518838,"UPPER WAHIAWA 874.3, HI US",-158.0111,21.4992,5,306.6
<sqlalchemy.orm.state.InstanceState object at 0x0000019B9A9B01F0>,USC00519523,"WAIMANALO EXPERIMENTAL FARM, HI US",-157.71139,21.33556,6,19.5
<sqlalchemy.orm.state.InstanceState object at 0x0000019B9A9B0280>,USC00519281,"WAIHEE 837.5, HI US",-157.84888999999998,21.45167,7,32.9
<sqlalchemy.orm.state.InstanceState object at 0x0000019B9A9B0310>,USC00511918,"HONOLULU OBSERVATORY 702.2, HI US",-157.9992,21.3152,8,0.9
<sqlalchemy.orm.state.InstanceState object at 0x0000019B9A9B03A0>,USC00516128,"MANOA LYON ARBO 785.2, HI US",-157.8025,21.3331,9,152.4
